avg_login_interval_days,duration_of_use_minutes,failed_tests_count,progress_rate,abandoned
18.58,21.5,17,0.026,1
6.5,544.6,25,0.243,1
24.54,341.5,9,0.054,1
30.22,280.4,24,0.875,1
2.65,498.8,20,0.107,0
25.53,415.9,1,0.121,0
32.32,422.4,16,0.144,1
10.21,407.0,4,0.301,0
0.49,293.5,22,0.201,1
39.62,314.3,7,0.204,0
20.08,38.1,3,0.3,1
10.72,509.4,8,0.822,0
27.85,262.3,20,0.022,1
10.98,309.4,22,0.547,1
30.11,575.7,15,0.367,1
36.03,281.1,13,0.148,1
17.65,350.4,1,0.645,0
2.11,544.7,4,0.468,0
44.18,217.9,16,0.211,1
23.18,108.8,4,0.352,1
32.24,473.1,8,0.785,0
3.26,504.4,15,0.377,0
26.01,556.8,24,0.659,0
26.58,350.5,18,0.617,1
38.37,99.7,3,0.665,0
14.7,142.8,24,0.809,1
40.51,108.5,12,0.756,1
27.61,73.1,23,0.073,1
37.86,554.5,10,0.108,1
28.76,336.1,6,0.252,1
9.21,101.4,16,0.809,0
28.38,402.9,6,0.033,1
34.89,343.1,2,0.341,0
32.83,319.3,6,0.832,0
15.97,373.0,17,0.853,0
28.22,525.0,18,0.078,1
5.48,142.2,19,0.541,0
13.19,497.7,12,0.703,0
43.57,49.5,18,0.241,1
14.19,373.1,17,0.698,0
41.3,161.5,0,0.032,1
39.98,40.3,6,0.547,0
29.92,527.6,7,0.494,0
27.53,501.8,25,0.035,1
27.0,369.4,2,0.888,0
32.61,66.9,15,0.508,1
13.79,510.7,7,0.021,0
36.55,322.8,12,0.682,1
2.54,460.6,22,0.125,0
5.38,75.2,19,0.983,1
19.76,39.5,7,0.092,1
33.92,485.6,17,0.568,1
32.45,488.5,2,0.057,1
14.27,363.4,7,0.998,0
29.66,395.7,2,0.25,0
33.14,217.4,7,0.444,1
24.9,522.0,7,0.527,0
22.75,37.1,13,0.706,1
9.32,86.6,16,0.231,1
16.88,490.7,4,0.036,0
34.44,572.1,0,0.499,0
17.41,497.2,2,0.06,0
1.04,232.6,14,0.044,1
19.51,36.1,9,0.031,0
40.97,453.9,10,0.923,0
26.67,455.6,10,0.726,0
35.26,557.5,24,0.057,1
32.51,408.4,17,0.464,1
23.45,101.7,12,0.467,1
40.87,172.0,21,0.951,1
24.52,205.8,12,0.039,1
11.42,393.6,24,0.608,0
14.58,162.4,5,0.444,1
1.86,218.4,20,0.844,1
42.26,169.5,19,0.551,1
11.76,473.1,8,0.869,0
6.78,372.7,1,0.233,0
22.9,267.0,10,0.042,1
32.21,159.1,8,0.016,1
24.41,31.6,7,0.35,1
23.09,146.0,10,0.57,0
3.4,258.8,9,0.143,0
15.21,247.8,20,0.375,1
1.6,224.1,9,0.93,1
27.48,485.8,16,0.716,0
32.14,564.3,12,0.831,0
17.27,598.7,2,0.955,0
25.53,598.7,20,0.548,0
38.17,319.0,1,0.607,0
14.4,121.0,18,0.293,1
34.59,220.4,14,0.315,1
20.14,574.8,13,0.362,0
41.18,393.7,19,0.23,1
37.29,592.1,17,0.245,1
30.03,365.3,25,0.287,1
19.06,590.0,18,0.494,1
8.26,275.2,5,0.121,0
41.87,447.0,4,0.869,1
7.68,48.4,16,0.867,0
16.08,244.4,17,0.241,1
37.15,205.3,19,0.617,1
33.3,216.2,14,0.911,0
19.72,455.8,22,0.135,1
41.25,562.3,2,0.152,0
30.39,274.8,10,0.439,1
42.53,62.7,9,0.493,1
23.73,307.4,13,0.285,0
42.92,30.0,23,0.882,1
12.67,528.4,10,0.099,1
12.47,266.2,5,0.288,0
33.96,555.1,21,0.279,1
22.99,105.5,19,0.903,1
35.99,9.0,0,0.37,0
19.31,269.7,4,0.831,0
31.84,507.6,14,0.889,1
6.33,170.7,21,0.116,1
35.74,437.8,10,0.157,1
33.15,404.9,2,0.707,0
19.62,559.8,25,0.521,1
37.73,377.5,20,0.627,1
39.27,136.0,6,0.265,1
33.06,173.1,6,0.635,1
32.6,132.4,13,0.067,1
8.18,253.8,8,0.613,0
15.82,320.6,5,0.878,0
30.13,296.7,20,0.392,1
4.52,71.9,24,0.764,1
11.28,257.8,5,0.465,1
31.42,424.4,24,0.882,0
27.13,413.9,0,0.291,0
35.27,41.2,24,0.323,1
36.44,258.0,8,0.912,0
15.42,492.0,9,0.448,0
24.21,468.8,3,0.948,0
27.3,16.9,23,0.021,1
15.13,214.9,24,0.553,1
16.42,123.1,5,0.838,0
13.2,101.0,11,0.332,0
42.31,26.5,0,0.755,1
35.65,30.2,9,0.301,1
11.28,167.1,3,0.813,0
36.86,526.6,2,0.077,0
33.02,17.0,23,0.83,1
33.17,476.6,6,0.831,0
19.25,447.4,9,0.274,1
29.59,285.5,9,0.43,1
12.68,174.2,22,0.533,1
22.47,239.2,11,0.763,0
26.09,19.8,24,0.232,1
29.0,202.8,25,0.63,1
9.5,565.5,18,0.25,0
21.41,435.2,18,0.761,0
18.65,445.6,4,0.037,0
39.24,164.5,6,0.755,1
14.22,392.9,10,0.461,0
33.34,441.2,3,0.426,1
0.81,314.4,3,0.166,0
1.95,257.4,5,0.626,0
39.36,253.8,0,0.297,1
41.5,407.6,16,0.322,1
7.63,177.7,21,0.204,1
23.47,154.5,14,0.211,1
44.83,557.1,5,0.524,1
18.85,94.5,2,0.993,0
9.13,60.8,14,0.331,1
7.21,213.5,17,0.883,1
8.83,174.1,13,0.584,0
18.27,156.6,17,0.642,1
4.81,133.8,5,0.263,0
26.51,460.8,10,0.576,0
43.51,443.7,19,0.668,1
35.29,593.5,2,0.93,0
21.5,5.1,2,0.896,0
19.9,400.6,10,0.303,1
17.82,465.5,22,0.474,1
23.97,530.6,6,0.955,0
32.07,504.7,17,0.442,1
5.59,540.4,20,0.348,0
21.08,403.7,23,0.424,0
41.44,118.6,11,0.179,1
20.01,318.0,0,0.586,0
41.23,304.2,0,0.607,1
21.65,31.1,22,0.704,1
25.83,23.1,22,0.928,1
22.17,286.7,20,0.751,1
1.49,537.1,4,0.706,0
3.91,501.3,3,0.056,1
4.57,328.7,6,0.655,0
30.31,540.3,22,0.169,1
16.61,13.4,21,0.403,1
3.11,495.9,16,0.148,1
2.19,367.1,22,0.505,0
37.74,6.9,8,0.561,1
37.66,56.2,14,0.088,1
4.07,193.9,20,0.966,0
9.95,227.8,2,0.877,0
30.7,565.9,6,0.747,0
17.19,175.8,8,0.14,1
8.63,530.7,5,0.979,0
4.34,216.3,11,0.349,0
28.47,499.9,1,0.95,0
25.68,596.3,13,0.347,0
9.49,421.3,16,0.552,1
23.19,130.4,6,0.468,1
29.69,115.9,4,0.467,1
29.69,541.3,10,0.701,0
0.55,255.7,10,0.337,1
16.24,101.8,17,0.186,1
20.65,347.7,13,0.731,1
32.61,362.6,15,0.679,0
39.51,459.1,16,0.108,1
26.07,357.9,5,0.512,0
43.44,566.0,6,0.951,1
29.92,474.2,1,0.97,0
36.11,277.9,5,0.461,1
7.91,188.0,5,0.236,1
11.16,412.4,24,0.374,1
21.29,413.6,22,0.212,1
20.96,149.4,3,0.388,0
18.11,199.6,9,0.82,0
17.84,47.6,15,0.67,1
39.87,111.0,7,0.369,1
27.55,452.3,2,0.646,0
9.66,264.1,10,0.384,1
14.14,406.8,15,0.035,1
7.53,411.0,3,0.465,0
4.74,518.2,25,0.807,1
22.91,413.3,0,0.486,0
34.76,185.3,8,0.742,0
40.89,303.7,24,0.474,1
16.55,472.4,13,0.532,0
6.94,205.6,22,0.59,0
32.8,275.7,1,0.465,0
20.82,34.8,19,0.686,1
13.47,492.4,17,0.267,0
20.22,182.1,1,0.596,1
33.29,152.9,2,0.535,1
22.31,536.2,11,0.972,0
37.19,501.8,23,0.82,1
14.83,27.8,19,0.977,0
17.31,588.3,2,0.338,0
18.15,114.4,23,0.257,1
37.69,262.9,3,0.794,0
27.78,325.8,25,0.244,1
21.39,457.6,13,0.275,1
22.67,32.2,12,0.91,1
18.44,16.1,13,0.657,1
35.6,382.7,3,0.221,1
3.05,176.3,22,0.609,1
26.87,327.2,15,0.93,1
15.72,269.4,14,0.854,0
7.82,237.1,12,0.032,0
28.49,339.0,11,0.083,1
13.82,451.8,14,0.675,0
7.67,214.2,13,0.415,0
12.92,447.7,7,0.375,0
42.71,78.5,12,0.218,1
8.2,99.7,24,0.984,1
